観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,8日の最大値(mm),8日の最大値の品質情報,8日の最大値起時（時）(まで),8日の最大値起時（分）(まで),8日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,7日までの観測史上1位の値(mm),7日までの観測史上1位の値の品質情報,7日までの観測史上1位の値の年,7日までの観測史上1位の値の月,7日までの観測史上1位の値の日,7日までの1月の1位の値(mm),7日までの1月の1位の値の品質情報,7日までの1月の1位の値の年,7日までの1月の1位の値の月,7日までの1月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬（ソウヤミサキ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,45.0,8,1996,8,18,7.0,8,2019,1,30,1978
11016,北海道 宗谷地方,稚内（ワッカナイ）,47401.0,2026,1,8,16,0,0.0,8,1.0,4,0.0,22.0,4.0,,,64.0,8,1938,9,1,16.0,8,1963,1,3,1938
11046,北海道 宗谷地方,礼文（レブン）,,2026,1,8,16,0,0.0,8,0.5,4,15.0,6.0,4.0,,,50.5,8,2020,8,7,8.5,8,2021,1,14,2003
11061,北海道 宗谷地方,声問（コエトイ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,46.0,8,2010,9,20,4.5,8,2025,1,6,2003
11076,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,50.0,8,2013,8,24,8.0,8,1996,1,29,1978
11091,北海道 宗谷地方,本泊（モトドマリ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,51.5,8,2020,10,3,7.0,8,2024,1,15,2003
11121,北海道 宗谷地方,沼川（ヌマカワ）,,2026,1,8,16,0,0.0,8,0.5,4,13.0,18.0,4.0,,,67.5,8,2021,10,4,7.0,8,2022,1,2,1977
11151,北海道 宗谷地方,沓形（クツガタ）,,2026,1,8,16,0,0.0,8,0.5,4,4.0,33.0,4.0,,,44.5,8,2023,11,3,12.0,8,1997,1,3,1976
11176,北海道 宗谷地方,豊富（トヨトミ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,50.5,8,2025,8,26,24.0,8,1979,1,28,1976
11206,北海道 宗谷地方,浜頓別（ハマトンベツ）,,2026,1,8,16,0,0.0,8,0.5,4,15.0,41.0,4.0,,,45.0,8,2021,10,4,5.0,8,1997,1,3,1976
11276,北海道 宗谷地方,中頓別（ナカトンベツ）,,2026,1,8,16,0,0.0,8,0.5,4,6.0,50.0,4.0,,,43.0,8,2025,8,20,6.0,8,2022,1,12,1976
